"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670|f__FGB1670",0,0,0,0.1198,0,0.03213,0,0,0,8e-04,0,0,0,0.04957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0.39364,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405|f__FGB4405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99125,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB544|o__OFGB544|f__FGB544",0,0,0,0,0,0,0,0,0,0,0.00641,0,0,0,0,0,0,0,0,0,0,0.00669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602|f__FGB602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0.07209,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB618|o__OFGB618|f__FGB618",0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629|f__FGB629",0,0,0,0.12963,0,0.02173,0.23658,0.30678,0,0,0.1385,0,0,0.03544,0.04989,0.2663,0,0.02435,0,0,0,0.20247,0,0,0,0,0,0,0.02528,0.07204,0.2796,0,0.02869,0.23128,0.35986,0.01069,0,0,0,0,0.10863,0
"k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658|f__FGB658",5.07768,0,0,0,0.00102,0.00047,0,0,0,0,0.32227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48813,0,0,0,0.02222,0,0,0,0,0,0,3.67745,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB667|o__OFGB667|f__FGB667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB668|o__OFGB668|f__FGB668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2102|o__OFGB2102|f__FGB2102",0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia|o__Candidatus_Nanoperiomorbales|f__Candidatus_Nanoperiomorbaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00089,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae",0,0,0,0,0,0,0.00466,0.00134,0.00092,0,0,0.04794,0.00316,0,0,0,0,0.00102,0.00419,0,0.00282,0,0.01501,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified",0,0.01077,0.01681,0.00209,0.01443,0.00166,0.00331,0.00117,0.02346,0,0.002,0.23411,0,0.00204,0.00035,0.00091,0.00238,0.02068,0.01125,0.01132,0.04236,0.01327,0.188,0.00445,0,0.00371,0.01132,0,0,0.03675,0.01372,0,0.04581,0,0.00285,0.00554,0.00469,0.00261,0,0,0.06034,0.05222
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae",0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0.00085,0,0.00425,0.00058,0,0,0,0,0,0,0,0,0,0,0,0.01442,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales|f__Candidatus_Saccharimonadaceae",0,0.00711,0,0,0.01081,0,0,0,0,0,0,0.01141,0.00285,0.00176,9e-05,0,0,0,0,0.00034,0.00153,0,0.01454,0.01998,0,0,0,0,0,0.00526,0.00141,0,0.00147,0,0,0,0,0,3e-04,0,0.0033,0
