"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella",0.3345,0.16575,0.40266,0.00709,0.19615,0.01819,0.1434,0.09397,0.0053,0.22648,0.29926,0.0011,0.12561,0.07454,0.01537,0.0326,0.43483,0.02462,0.51623,0.46509,0.52305,0.41516,0.10071,0.448,0.10818,0.54955,1.14048,0.21691,0.07165,0.1358,0.08895,0.49339,0.0036,2.45185,1.20772,0.00062,0.43906,0.26331,0,1.52973,0.01438,3.2179
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Ellagibacter",0,0,0,0,0,0,0,0,0.00873,0,0,0.00885,0,0,0.08243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17269,0.29255,0.21283,0,0,0,0,0.05363,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB45432",0.01502,0.09414,0,0.00792,0.04358,0.00635,0,0,0,0,0,0,0,0.03512,0.03596,0.04875,0.13727,0.00335,0,0.09443,0,0,0,0,0,0,0,0,0.05423,0.14089,0.02832,0,0,0,0,0,0,0,0,0.0428,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9365",1.25277,0,0,0.25645,0,0.46118,0,0,0.0047,0,0,0,0.05761,0.4594,0.00099,0,0.08671,0,0,0.07674,0,0,0,0,0.13442,0.28788,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96896,0.01346,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02425,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9425",0,0,0,0,0,0,0,0,0,0,0.63874,0,0,0,0,0,0,0,0,0,0,0.4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25633,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter",0.02592,0,0.04775,0.00696,0,0.03212,0.01306,0.00164,0,0.02762,0,0,0.07656,0.07051,0.00413,0,0.01838,0,0.15578,0.02658,0.05613,0,0.0072,0.02403,0.07568,0.14696,0,0,0.03003,0.00257,0,0.10035,0,0.13808,0.06586,0,0,0,0.08555,0.03742,0.00704,0.36776
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Paraeggerthella",0,0,0,0,0,0,0,0,0,0,0,0,0.00673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Raoultibacter",0.01599,0,0,0.02509,0,0.03116,0,0,0.003,0.07633,0.0036,0,0,0.2272,0.03547,0,0.11804,0,0,0.16933,0,0.17474,0,0,0.02439,0.12647,0,0,0.00617,0.08829,0.03093,0.0328,0.01888,0,0,0.01159,0,0,0,0.05068,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia",0,1.3768,0,0.34081,0.31428,0.33557,0,0,0.14251,0.03695,0,0.19532,0,0.93231,0.12016,0,0,0,0,0,0,0,0,0,0,0,0.00179,0.21438,0.24779,0.37658,0.10635,0,0.02284,0,0,0,0,0,0.06831,0,0.00075,0
"k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified",0.01012,0.00102,0,0.01035,0.00638,0.00464,0.03573,0.03314,0.02122,0.00788,0.00924,0,0,0.00774,0.00865,0,0,0,0.02315,0,0.0666,0.0074,0,0.01142,0,0,0,0,0.03187,0,0.00543,0.00104,0,0.00219,0.03111,0,0.01361,0.01642,0,0.03221,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides",0.87931,0.17268,0,0.31732,0.65125,0.11503,4.52395,1.63754,0.03679,16.28545,0.14632,0.02115,14.42828,2.07881,0.25075,0.24924,2.68802,0.03349,0.8343,0.58702,0.28983,0.18457,0.02144,16.22228,2.38073,0.65385,3.05444,34.40501,1.96898,0.10034,0.63308,0.1007,0.09531,2.32847,1.30447,0.00527,0.1526,1.8577,0.68058,1.30049,0.00267,0.03842
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB1379",0,0,0,0,0,0,0,0,0.01035,0,0,0.01385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
