"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__SGB17256",0,0,2.46009,0,0,0,0,0,0,0.00376,0,0,0.28049,5.20505,0,0,5.73496,0,0.15259,3.89109,0,0,0,0,0,0,0,0.01072,0,0,0,2.22314,0,0.88814,0.02883,0,0,0,3.52,0,0.00048,1.28964
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__SGB17247",0,0,0,0,0,0,0,0,0,0,0,0,0.03527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02585,0,0,0,0,0.0043,0,0,0.00516
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__SGB17234",0,0,0,0.00638,0,0.00735,0.0327,0,0,0,0,0,0.04466,0,0,0.01121,0,0,0.05283,0.01123,0,0,0.00153,0.02996,0,0,0,0,0.00876,1.67478,0.14414,0,0,0.00303,0,0,0.04734,0,0.05527,0,0.0012,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248",0.14303,9.68294,1.19406,1.81598,3.97737,0.24855,0.32924,0.03116,0.00807,0.13857,0,0.003,0.97388,0.78244,0.35177,0.43754,0.4118,0.45565,0.98241,1.14031,0.00136,0,0,2.45939,0.70627,0.87992,0,0,0.39076,1.79178,1.69237,0.23142,0.11197,0.46775,0.0094,0.56764,4.38658,1.61378,2.14134,4.75714,1.83316,1.58305
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__SGB17237",0,11.11892,4.84064,0,4.73932,0,0.00359,0,0.02283,0.63951,4.52722,0.02962,0.14695,2.06702,0.1102,0.45143,1.00937,0.09374,9.08504,3.62209,0.09914,0.30505,0,0,0.2945,0.62167,0,0,0,9.0106,2.76866,7.95564,0.45043,8.82081,0.34891,0.03102,12.41642,5.20235,0.92333,0,0.66347,1.77266
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__SGB17305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens|t__SGB17291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239,0,0,0,0,0,0,0.02547,0.00482,0,0,0,0,0,0,0,0.02339,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae|t__SGB15494",0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01152,0,0,0,0,0,0,0,0,0.00846,0,0,0.00021
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum|t__SGB17102",0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum|t__SGB17008",0,0,0.00456,0.00279,0.00067,0.00089,0,0,0.00184,0,0,0.00804,8e-04,0.0011,0,0,0.00062,0.00025,0.00258,0.00263,0.00158,0.00051,0.02478,0,0,6e-05,0.00318,0,0,0.00897,0.00346,0.00704,0,0,0.00272,0,0,0,0.00018,0,0,0.009
